Players,Money,Crash
529,3701.18,3.30
531,3587.35,2.42
507,2341.18,1.94
460,2765.59,1.38
468,3162.90,2.69
587,3452.68,1.18
419,2690.22,2.82
467,2654.42,3.42
499,3534.72,11.02
479,2461.79,2.64
406,2530.15,1.24
332,3212.29,1.15
363,3061.23,1.12
440,3615.51,3.21
587,4392.22,17.87
555,2993.24,4.60
469,2562.72,1.67
330,1520.81,1.60
396,2606.45,3.10
588,3410.38,18.69
572,2901.58,1.15
337,1954.84,13.62
558,3278.88,9.80
432,2429.52,1.55
449,2630.66,1.98
615,4021.20,2.78
685,4650.52,1.39
503,3044.85,7.14
537,3475.11,1.00
492,3461.34,2.02
548,3427.18,2.18
536,3694.99,1.00
494,3503.57,2.64
582,4956.89,1.41
542,4447.57,1.00
561,5082.64,1.04
528,4493.80,13.43
615,4025.92,1.16
429,2742.70,2.08
467,3522.32,1.10
503,4482.69,1.00
572,9291.10,1.03
536,5941.65,4.26
575,3740.91,1.07
428,2566.17,7.38
448,3921.60,1.08
446,2865.46,1.03
406,2653.46,1.53
522,4765.79,2.01
513,3498.38,7.75
451,2574.75,1.61
341,1789.91,8.48
449,3249.34,4.15
375,2285.73,1.38
420,2873.11,1.10
373,2737.70,2.61
576,3164.06,1.11
402,1947.70,2.22
453,2560.60,1.44
487,3143.88,1.41
473,2924.51,1.79
582,4564.73,2.35
533,3214.46,2.01
467,2819.93,1.37
386,2225.66,1.45
454,3245.37,1.68
581,3857.32,2.12
556,3750.31,2.30
471,2559.66,1.07
333,1912.52,22.73
452,2715.32,3.23
368,1638.09,4.48
422,2002.37,1.57
344,1943.99,1.22
383,1960.50,1.25
483,3130.62,1.40
598,4711.84,1.12
589,5070.35,1.18
552,6358.70,1.53
628,6252.75,2.11
580,3484.17,1.13
451,5057.77,4.31
466,4437.24,3.46
496,2955.24,3.05
478,2640.21,72.43
404,2968.84,1.00
317,2096.81,1.02
276,3861.69,3.63
503,3271.93,2.61
465,2520.20,3.13
443,2950.76,7.30
379,1580.43,2.19
327,1900.34,3.67
386,2579.74,4.58
408,1966.40,1.26
263,1069.67,1.20
295,1538.79,3.41
563,3130.32,1.23
408,1891.67,1.64
530,3316.60,1.32
506,2451.03,1.47
569,3251.15,5.89
610,3627.05,2.55
565,3289.28,4.21
536,2588.63,20.70
478,2381.48,1.78
372,2021.40,4.69
502,2402.99,1.03
403,2237.35,1.00
382,2357.36,1.43
509,3378.52,1.27
544,3752.42,12.96
623,4221.45,14.68
598,3442.48,1.27
379,1754.15,1.94
494,2772.97,2.09
616,3433.03,1.16
428,2254.22,2.09
514,3860.01,3.96
568,3039.90,2.59
500,2926.69,1.91
383,2511.57,1.34
393,3103.13,1.22
471,2819.79,1.87
632,4833.40,12.20
642,4484.06,2.21
514,3038.54,4.24
541,3071.71,2.75
433,2350.94,1.40
314,1893.14,1.03
282,2103.76,2.81
545,3192.89,2.99
556,3450.98,1.89
467,2778.17,29.54
585,3609.77,1.23
426,2434.63,5.58
517,3161.15,1.89
574,4343.22,65.49
456,2596.76,2.43
480,3031.15,3.61
518,3978.70,22.11
488,2442.58,4.42
444,2464.92,1.10
312,1640.96,7.72
571,3729.47,1.26
546,4210.30,2.17
510,2440.47,1.18
607,3697.04,1.22
527,4269.58,9.48
652,4468.63,1.43
480,2983.17,20.32
548,3993.64,1.62
596,3520.64,1.84
653,4322.84,2.87
647,4182.55,1.04
524,3053.59,1.02
583,3615.62,1.46
661,4984.40,1.04
630,4807.73,1.37
721,6546.83,1.00
672,6148.42,1.08
636,6257.06,7.03
708,4988.94,1.00
550,2689.89,1.08
488,2880.78,1.31
543,3557.58,8.25
592,3667.78,2.75
569,3586.61,1.01
411,2205.13,1.22
437,2359.32,4.91
571,3575.25,2.89
447,2413.38,4.95
518,2571.71,1.64
395,2056.84,1.43
437,2569.60,1.96
565,3801.28,2.02
579,3646.09,1.47
471,2831.66,1.06
415,2518.07,1.00
488,3563.77,3.80
575,3143.44,12.30
601,3746.36,1.00
398,2079.46,3.77
518,3272.31,4.06
450,2369.49,2.31
468,2096.40,35.05
433,2450.99,1.00
354,1849.93,1.29
364,2504.47,3.73
583,3559.59,1.70
453,2968.20,147.58
437,2739.25,1.50
461,3163.54,1.48
497,3800.67,1.14
484,3922.47,1.30
534,5234.43,20.77
592,4295.71,1.17
403,3535.14,1.35
432,3892.86,3.58
569,4057.60,28.16
494,5078.15,14.75
503,4199.89,1.02
314,2537.98,2.33
505,4850.10,2.67
529,5022.54,1.93
481,3061.11,1.00
446,2759.05,1.24
